Country Name,Country Code,UHC2017,CPI2017,GCDBHOSPITALS2019,CCIURB151617,CCIRUR151617,REGION,GDP2017,HDI2017,COCWB2017,COCWB2018,SDG32017
Kyrgyz Republic,KGZ,70,29,,,,ECA,7702934800,0.671,-1.054022,-0.9542972,
Lao PDR,LAO,51,29,,,,AP,16853087485,0.602,-0.9359312,-0.9826739,
Latvia,LVA,71,58,,,,WE/EU,30198231776,0.849,0.5358248,0.3285871,63.88333333
Lebanon,LBN,73,28,0.27,,,MENA,53393799668,0.732,-1.00018,-1.108917,56.46666667
Lesotho,LSO,48,42,0.05,,,SSA,2565352373,0.514,-0.0309465,-0.1033081,18.63333333
Liberia,LBR,39,31,0.43,,,SSA,3285455000,0.466,-0.6628168,-0.8509958,23.55
Libya,LBY,64,17,,,,MENA,37881431913,0.704,-1.591507,-1.552711,55.15
Lithuania,LTU,73,59,,,,WE/EU,47632961168,0.866,0.5537298,0.4978957,58.03333333
Luxembourg,LUX,83,82,,,,WE/EU,64023412340,0.908,1.985497,2.087755,70.06666667
Madagascar,MDG,28,24,0.21,,,SSA,13176313594,0.518,-1.050954,-1.000727,21.38333333
Malawi,MWI,46,31,0.07,79.3,76.7,SSA,6303292264,0.482,-0.6580035,-0.7433892,25.5
Malaysia,MYS,73,47,,,,AP,3.19E+11,0.802,0.0257437,0.3139765,66.16666667
Maldives,MDV,62,33,,,,AP,4735989972,0.716,-0.7875925,-0.8930011,
Mali,MLI,38,31,0.07,55,35.6,SSA,15337740141,0.426,-0.6403126,-0.695331,21.9
Malta,MLT,82,56,,,,WE/EU,12768671650,0.883,0.7396526,0.5799018,81.08333333
Mauritania,MRT,41,28,,60.8,39.6,SSA,4905893855,0.524,-0.7513137,-0.8072538,29.7
Mauritius,MUS,63,50,0.02,,,SSA,13259351418,0.793,0.2011648,0.2696345,69
Mexico,MEX,76,29,0.16,81.4,80.9,AME,1.16E+12,0.765,-0.927987,-0.8628517,67.25
Moldova,MDA,69,31,,,,ECA,9669759987,0.709,-0.7986267,-0.7267502,61.93333333
Mongolia,MNG,62,36,,,,AP,11425755280,0.729,-0.4517064,-0.4277897,49.18333333
Montenegro,MNE,68,46,,,,ECA,4844592067,0.813,-0.0877144,0.0227987,57.26666667
Morocco,MAR,70,40,0.32,,,MENA,1.10E+11,0.675,-0.1394774,-0.2164034,57.58333333
Mozambique,MOZ,46,25,0.17,71.7,57.3,SSA,13219084261,0.442,-0.8348412,-0.7813797,27.45
Myanmar,MMR,61,30,,79.6,63.6,AP,66719084253,0.577,-0.5652628,-0.588294,33.83333333
Namibia,NAM,62,51,0.04,,,SSA,13566192144,0.643,0.3206743,0.3399599,35.5
Nepal,NPL,48,31,,67.6,61.4,AP,25180583770,0.574,-0.7495683,-0.6736505,25.33333333
Netherlands,NLD,86,82,,,,WE/EU,8.32E+11,0.932,1.867278,2.009026,83.25
New Zealand,NZL,87,89,,,,AP,2.03E+11,0.92,2.241115,2.174696,71.15
Nicaragua,NIC,73,26,,,,AME,13843612005,0.653,-0.8722236,-1.06336,64.03333333
Niger,NER,37,33,0.1,,,SSA,8119710126,0.373,-0.6633669,-0.5798146,15.41666667
Nigeria,NGA,42,27,0.2,50.6,29.2,SSA,3.76E+11,0.533,-1.076748,-1.04489,25.51666667
Norway,NOR,87,85,,,,WE/EU,3.98E+11,0.953,2.236777,2.089907,85
Oman,OMN,69,44,,,,MENA,70597919376,0.833,0.2476178,0.2460828,52.96666667
Pakistan,PAK,45,32,,,,AP,3.05E+11,0.558,-0.7782837,-0.7907338,30.58333333
Panama,PAN,79,37,0.08,,,AME,62283800000,0.793,-0.5397643,-0.567027,67.48333333
Papua New Guinea,PNG,40,29,,,,AP,22742613549,0.543,-0.8989989,-0.8760095,
Paraguay,PRY,69,29,,82,80.8,AME,39008900332,0.722,-0.7252022,-0.8474646,58.38333333
Peru,PER,77,37,0.19,76.7,67.6,AME,2.11E+11,0.756,-0.4962631,-0.5401052,64.15
Philippines,PHL,61,34,,72.6,68.6,AP,3.14E+11,0.709,-0.4755699,-0.5448154,48.28333333
Poland,POL,75,60,,,,WE/EU,5.26E+11,0.868,0.7249848,0.6414219,71.66666667
Portugal,PRT,82,63,,,,WE/EU,2.21E+11,0.848,0.8739432,0.8498304,70.95
Qatar,QAT,68,63,,,,MENA,1.67E+11,0.848,0.7338908,0.7248945,53.68333333
Romania,ROU,74,48,,,,WE/EU,2.12E+11,0.813,-0.0314776,-0.1216504,59.33333333
Russian Federation,RUS,74,29,,,,ECA,1.58E+12,0.822,-0.8923913,-0.8451133,55.3
Rwanda,RWA,57,55,,,,SSA,9140429058,0.529,0.6330296,0.5782577,27.96666667
Sao Tome and Principe,STP,55,46,0.04,,,SSA,375040173.8,0.603,0.1712368,0.1838712,
Saudi Arabia,SAU,74,49,,,,MENA,6.89E+11,0.856,0.3638232,0.3596962,54.93333333
Senegal,SEN,45,45,0.07,71.3,55.2,SSA,21081669870,0.51,-0.0891061,-0.0247014,33.7
Serbia,SRB,65,41,,,,ECA,44120424392,0.794,-0.3751129,-0.3702148,59.56666667
Seychelles,SYC,71,60,,,,SSA,1503168690,0.8,0.6810741,0.7026863,
Sierra Leone,SLE,39,30,0.5,,,SSA,3739577973,0.435,-0.5661565,-0.4921698,20.75
Singapore,SGP,86,84,,,,AP,3.38E+11,0.934,2.133582,2.174524,86.95
Slovak Republic,SVK,77,50,,,,WE/EU,95241436352,0.854,0.2237696,0.3629198,0
Slovenia,SVN,79,61,,,,WE/EU,48441722816,0.899,0.8137993,0.8702175,75.81666667
Solomon Islands,SLB,47,39,,,,AP,1309631135,0.555,0.1115308,-0.0049462,
Somalia,SOM,25,9,,,,SSA,4508845348,0.351,-1.716338,-1.800085,11.6
South Africa,ZAF,69,43,0.06,,,SSA,3.50E+11,0.704,-0.0218271,-0.021569,44.13333333
South Sudan,SSD,31,12,,,,SSA,2900000000,0.414,-1.713314,-1.727954,11.61666667
Spain,ESP,83,57,,,,WE/EU,1.31E+12,0.891,0.4917679,0.613507,75.23333333
Sri Lanka,LKA,66,38,,,,AP,88019706804,0.776,-0.4518555,-0.3355435,65.03333333
Sudan,SDN,44,16,0.12,,,SSA,1.23E+11,0.507,-1.531964,-1.426933,28.73333333
Suriname,SUR,71,41,,,,AME,3068766110,0.722,-0.1743335,-0.2114844,58.2
Sweden,SWE,86,84,,,,WE/EU,5.41E+11,0.935,2.138935,2.139578,85.86666667
Switzerland,CHE,83,85,,,,WE/EU,6.80E+11,0.943,1.989034,2.00971,80.68333333
Syrian Arab Republic,SYR,60,14,,,,MENA,40000000000,0.544,-1.562994,-1.626812,60.83333333
Tajikistan,TJK,68,21,,,,ECA,7157865188,0.651,-1.331051,-1.415102,56.86666667
Tanzania,TZA,43,36,0.11,,,SSA,53320625959,0.522,-0.4630897,-0.4479853,28.2
Thailand,THA,80,37,,88.8,88.5,AP,4.55E+11,0.762,-0.3858818,-0.3988041,59.18333333
Timor-Leste,TLS,52,38,,69.7,60,AP,2487269400,0.624,-0.5402249,-0.4735851,
Togo,TGO,43,32,0.12,,,SSA,4808043653,0.51,-0.7109718,-0.7275374,24.38333333
Trinidad and Tobago,TTO,74,41,,,,AME,22474828527,0.799,-0.3645433,-0.317267,65.43333333
Tunisia,TUN,70,42,0.11,,,MENA,39813383484,0.738,-0.1086418,-0.0534863,63.58333333
Turkey,TUR,74,40,,,,ECA,8.53E+11,0.805,-0.193241,-0.3353838,65.23333333
Turkmenistan,TKM,70,19,,78.6,80.9,ECA,37926285714,0.708,-1.482324,-1.357742,61.58333333
Uganda,UGA,45,26,0.31,70.6,63.6,SSA,25995031850,0.522,-1.042315,-1.037357,23.08333333
Ukraine,UKR,68,30,,,,ECA,1.12E+11,0.747,-0.783947,-0.8736908,46.48333333
United Arab Emirates,ARE,76,71,,,,MENA,3.78E+11,0.864,1.133604,1.151608,45.2
United Kingdom,GBR,87,82,,,,WE/EU,2.67E+12,0.919,1.843343,1.826577,80.43333333
United States,USA,84,75,,,,AME,1.95E+13,0.919,1.381242,1.323218,74.43333333
Uruguay,URY,80,70,,,,AME,56488991831,0.807,1.292709,1.265534,67.75
Uzbekistan,UZB,73,22,,,,ECA,59159945321,0.707,-1.159287,-1.068714,62.83333333
Vanuatu,VUT,48,43,,,,AP,880043553.7,0.595,0.0057819,-0.1629424,
"Venezuela, RB",VEN,74,18,,,,AME,4.82E+11,0.735,-1.364057,-1.467512,56.3
Vietnam,VNM,75,35,,,,AP,2.24E+11,0.69,-0.583135,-0.4853567,46.88333333
"Yemen, Rep.",YEM,42,16,,,,MENA,26818703093,0.463,-1.592786,-1.637971,23.96666667
Zambia,ZMB,53,37,0.04,,,SSA,25868142077,0.589,-0.5422128,-0.6561365,27.68333333
Zimbabwe,ZWE,54,22,0.04,79.7,70.6,SSA,22813010116,0.553,-1.273584,-1.235616,32.61666667
